date,paire,action,prix,raison,donnees
25/09 01:38,XBTUSD,SKIP,84256.9,pas de tendance haussière (EMA20 84221.24 ≤ EMA50 84486.60); prix au-dessus de l'EMA rapide; RSI 49 dans la zone 45-70,"{""ema_fast"": 84221.2402549391, ""ema_slow"": 84486.59515246312, ""rsi"": 49.3671706926416, ""atr"": 562.1339935467465}"
25/09 01:38,ETHUSD,SKIP,2684.7,pas de tendance haussière (EMA20 2679.61 ≤ EMA50 2690.03); prix au-dessus de l'EMA rapide; RSI 51 dans la zone 45-70,"{""ema_fast"": 2679.6056884747236, ""ema_slow"": 2690.0327199365984, ""rsi"": 51.10654592335992, ""atr"": 22.62819109259024}"
25/09 01:38,SOLUSD,ENTER,117.23711999999999,"tendance haussière (EMA20 115.87 > EMA50 115.77); prix au-dessus de l'EMA rapide; RSI 56 dans la zone 45-70 → achat de 0.424787 à 117.24 (50.00 USD frais compris), stop 114.91, objectif 123.05","{""qty"": 0.4247869344858438, ""stop"": 114.91135714761843, ""tp"": 123.0515271309539, ""ema_fast"": 115.87423261876019, ""ema_slow"": 115.77101321268199, ""rsi"": 55.87162156308122, ""atr"": 1.1628814261907812}"
25/09 01:38,-,EQUITY,49.800796812749006,capital simulé 49.80 USD dont 0.00 USD de cash,{}
25/09 02:28,SOLUSD,HOLD,117.44,"position gardée : stop 114.91, objectif 123.05, latent -0.31 USD",{}
25/09 02:28,XBTUSD,SKIP,84380.0,"tendance trop faible ou baissière (EMA20 84236.36, EMA50 84482.41); EMA20 encore montante (+29.73 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 51 dans la zone 45-70","{""ema_fast"": 84236.36023065918, ""ema_slow"": 84482.4149504058, ""rsi"": 51.185700011098994, ""atr"": 536.4172797219793}"
25/09 02:28,ETHUSD,SKIP,2687.24,"tendance trop faible ou baissière (EMA20 2680.33, EMA50 2689.92); EMA20 encore montante (+2.00 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 52 dans la zone 45-70","{""ema_fast"": 2680.332765762845, ""ema_slow"": 2689.9232015077127, ""rsi"": 52.0886542553828, ""atr"": 21.629748871690943}"
25/09 02:28,-,EQUITY,49.886977586017494,capital simulé 49.89 USD dont 0.00 USD de cash,{}
25/09 03:31,SOLUSD,HOLD,117.25,"position gardée : stop 114.91, objectif 123.05, latent -0.39 USD",{}
25/09 03:31,XBTUSD,SKIP,84566.5,"tendance trop faible ou baissière (EMA20 84267.80, EMA50 84485.71); EMA20 encore montante (+50.32 sur 3 bougies); prix au-dessus de l'EMA rapide; RSI 54 dans la zone 45-70","{""ema_fast"": 84267.80211345354, ""ema_slow"": 84485.7124033311, ""rsi"": 53.887847048402804, ""atr"": 519.3946168846954}"
